"nr","time","Valandos","Prognoze","Skirtumas"
2292,2008.25,,1113.94377164472,
2292,2008.5,,1095.44156803528,
2292,2008.75,,1135.43754424143,
2297,2008,619,452.231199063435,166.768800936565
2297,2008.25,619,455.554923603092,163.445076396908
2297,2008.5,619,437.046785355213,181.953214644787
2297,2008.75,513,416.405515979195,96.5944840208045
2314,2008,,4479.71371475404,
2314,2008.25,,4074.37625893233,
2314,2008.5,,3873.17345631944,
2314,2008.75,,4063.14207986032,
2381,2008,3031,3193.31550169577,-162.31550169577
2381,2008.25,2672,3128.93972437786,-456.939724377863
2381,2008.5,3103,3436.07156096526,-333.071560965263
2381,2008.75,3562,4353.59587925996,-791.595879259965
2403,2008,3319,3048.12375485937,270.876245140631
2403,2008.25,3276,2959.93449611089,316.065503889108
2403,2008.5,3011,2926.00214028204,84.9978597179625
2403,2008.75,3430,2788.8136944432,641.186305556798
2405,2008,13773,13587.4723809112,185.527619088783
2405,2008.25,16532,15689.0601311159,842.939868884112
2405,2008.5,15426,14785.6244391488,640.375560851237
2405,2008.75,9311,8301.00252312149,1009.99747687851
2506,2008,749,1790.12191662779,-1041.12191662779
2506,2008.25,1272,2533.11214464719,-1261.11214464719
2506,2008.5,1285,2574.86699974516,-1289.86699974516
2506,2008.75,1366,2723.78080115212,-1357.78080115212
2522,2008,,1101.77676394419,
